channel,start_time,stop_time,label,confidence
TERM,1,412,0,0.6334280197740308
TERM,413,487,0,0.6334280197740308
TERM,488,547,0,0.6334280197740308
TERM,548,725,0,0.6334280197740308
TERM,726,961,0,0.6334280197740308
TERM,962,1398,0,0.6334280197740308
TERM,1399,1471,0,0.6334280197740308
TERM,1472,1765,0,0.6334280197740308
TERM,1766,2179,0,0.6334280197740308
TERM,2180,2430,0,0.6334280197740308
TERM,2431,2798,0,0.6334280197740308
TERM,2799,3149,0,0.6334280197740308
TERM,3150,3402,0,0.6334280197740308
TERM,3403,3690,0,0.6334280197740308
TERM,3691,3908,0,0.6334280197740308
TERM,3909,4396,0,0.6334280197740308
