channel,start_time,stop_time,label,confidence
TERM,1,236,0,0.5641600306769856
TERM,237,725,0,0.5641600306769856
TERM,726,1177,0,0.5641600306769856
TERM,1178,1536,0,0.5641600306769856
TERM,1537,1644,0,0.5641600306769856
TERM,1645,1664,0,0.5641600306769856
TERM,1665,2027,0,0.5641600306769856
TERM,2028,2073,0,0.5641600306769856
TERM,2074,2392,0,0.5641600306769856
TERM,2393,2435,0,0.5641600306769856
TERM,2436,2558,0,0.5641600306769856
TERM,2559,2780,0,0.5641600306769856
TERM,2781,3070,0,0.5641600306769856
TERM,3071,3116,0,0.5641600306769856
TERM,3117,3544,0,0.5641600306769856
TERM,3545,3716,0,0.5641600306769856
TERM,3717,4058,0,0.5641600306769856
TERM,4059,4311,0,0.5641600306769856
TERM,4312,4630,0,0.5641600306769856
TERM,4631,4934,0,0.5641600306769856
TERM,4935,5430,0,0.5641600306769856
TERM,5431,5836,0,0.5641600306769856
TERM,5837,6298,0,0.5641600306769856
TERM,6299,6472,0,0.5641600306769856
TERM,6473,6845,0,0.5641600306769856
TERM,6846,7311,0,0.5641600306769856
TERM,7312,7597,0,0.5641600306769856
TERM,7598,7751,0,0.5641600306769856
TERM,7752,7964,0,0.5641600306769856
TERM,7965,8059,0,0.5641600306769856
TERM,8060,8194,0,0.5641600306769856
TERM,8195,8385,0,0.5641600306769856
TERM,8386,8599,0,0.5641600306769856
TERM,8600,8651,0,0.5641600306769856
TERM,8652,9016,0,0.5641600306769856
TERM,9017,9473,0,0.5641600306769856
TERM,9474,9546,0,0.5641600306769856
TERM,9547,9667,0,0.5641600306769856
TERM,9668,9802,0,0.5641600306769856
TERM,9803,10191,0,0.5641600306769856
TERM,10192,10436,0,0.5641600306769856
TERM,10437,10785,0,0.5641600306769856
TERM,10786,10939,0,0.5641600306769856
TERM,10940,11433,0,0.5641600306769856
TERM,11434,11719,0,0.5641600306769856
TERM,11720,11735,0,0.5641600306769856
TERM,11736,12195,0,0.5641600306769856
TERM,12196,12598,0,0.5641600306769856
TERM,12599,13067,0,0.5641600306769856
TERM,13068,13211,0,0.5641600306769856
TERM,13212,13662,0,0.5641600306769856
TERM,13663,13820,0,0.5641600306769856
TERM,13821,14156,0,0.5641600306769856
TERM,14157,14501,0,0.5641600306769856
TERM,14502,14868,0,0.5641600306769856
TERM,14869,14980,0,0.5641600306769856
TERM,14981,15052,0,0.5641600306769856
TERM,15053,15374,0,0.5641600306769856
TERM,15375,15759,0,0.5641600306769856
TERM,15760,16089,0,0.5641600306769856
TERM,16090,16579,0,0.5641600306769856
TERM,16580,16883,0,0.5641600306769856
TERM,16884,16990,0,0.5641600306769856
TERM,16991,17115,0,0.5641600306769856
TERM,17116,17128,0,0.5641600306769856
TERM,17129,17437,0,0.5641600306769856
TERM,17438,17471,0,0.5641600306769856
TERM,17472,17598,0,0.5641600306769856
TERM,17599,17781,0,0.5641600306769856
TERM,17782,17935,0,0.5641600306769856
TERM,17936,18428,0,0.5641600306769856
TERM,18429,18449,0,0.5641600306769856
TERM,18450,18914,0,0.5641600306769856
TERM,18915,19341,0,0.5641600306769856
TERM,19342,19686,0,0.5641600306769856
TERM,19687,19720,0,0.5641600306769856
TERM,19721,19799,0,0.5641600306769856
TERM,19800,19969,0,0.5641600306769856
TERM,19970,20061,0,0.5641600306769856
TERM,20062,20472,0,0.5641600306769856
TERM,20473,20533,0,0.5641600306769856
TERM,20534,20900,0,0.5641600306769856
TERM,20901,21010,0,0.5641600306769856
TERM,21011,21474,0,0.5641600306769856
TERM,21475,21762,0,0.5641600306769856
TERM,21763,22023,0,0.5641600306769856
TERM,22024,22504,0,0.5641600306769856
TERM,22505,22879,0,0.5641600306769856
TERM,22880,22966,0,0.5641600306769856
TERM,22967,23305,0,0.5641600306769856
TERM,23306,23643,0,0.5641600306769856
TERM,23644,24109,0,0.5641600306769856
TERM,24110,24598,0,0.5641600306769856
TERM,24599,24663,0,0.5641600306769856
TERM,24664,24903,0,0.5641600306769856
TERM,24904,25307,0,0.5641600306769856
TERM,25308,25465,0,0.5641600306769856
TERM,25466,25689,0,0.5641600306769856
TERM,25690,25845,0,0.5641600306769856
TERM,25846,25960,0,0.5641600306769856
TERM,25961,26091,0,0.5641600306769856
TERM,26092,26246,0,0.5641600306769856
TERM,26247,26497,0,0.5641600306769856
TERM,26498,26955,0,0.5641600306769856
TERM,26956,27278,0,0.5641600306769856
TERM,27279,27760,0,0.5641600306769856
TERM,27761,27829,0,0.5641600306769856
TERM,27830,27949,0,0.5641600306769856
TERM,27950,28009,0,0.5641600306769856
TERM,28010,28181,0,0.5641600306769856
TERM,28182,28674,0,0.5641600306769856
TERM,28675,28724,0,0.5641600306769856
TERM,28725,28910,0,0.5641600306769856
TERM,28911,29206,0,0.5641600306769856
TERM,29207,29578,0,0.5641600306769856
TERM,29579,29598,0,0.5641600306769856
TERM,29599,29743,0,0.5641600306769856
TERM,29744,30087,0,0.5641600306769856
TERM,30088,30245,0,0.5641600306769856
TERM,30246,30291,0,0.5641600306769856
TERM,30292,30615,0,0.5641600306769856
TERM,30616,30711,0,0.5641600306769856
TERM,30712,30877,0,0.5641600306769856
TERM,30878,30980,0,0.5641600306769856
TERM,30981,31031,0,0.5641600306769856
TERM,31032,31333,0,0.5641600306769856
